date,open,high,low,close,volume
2021-01-04,196.413108,210.09310868,196.413108,207.48288185,15433467
2021-01-05,207.48288185,222.66182467,206.1476173,222.5153763,15640878
2021-01-06,223.118399,231.12137169,215.4513961,225.9612203,17394704
2021-01-07,225.53910441,228.35608188,218.01854988,228.287165,14960633
2021-01-08,227.89089294,230.010087,216.66605611,220.07744167,17889445
2021-01-11,219.45718975,219.88792025,205.027718,212.6947209,19056773
2021-01-12,209.04212626,226.564243,208.25819675,225.9612203,17049828
2021-01-13,226.7365352,232.10343723,223.10978439,229.3209182,16606668
2021-01-14,226.57285761,229.48459579,218.0357791,222.23970878,13578459
2021-01-15,217.088172,217.088172,201.09945584,209.7657535,30672796
2021-01-18,206.86262993,208.18927987,196.2408158,199.86756661,24130848
2021-01-19,203.304796,208.43048895,195.2070626,198.02404007,18849555
2021-01-20,195.91346062,199.858952,188.659959,197.274569,19820072
2021-01-21,196.2408158,207.47426724,195.9823775,205.70827219,18901986
2021-01-22,205.44983389,207.91361235,201.17698733,205.96671049,12712220
2021-01-25,205.96671049,226.564243,205.889179,226.564243,23918262
2021-01-26,227.33094329,229.5793565,222.42061559,226.81406669,16187892
2021-01-27,222.43784481,224.78963334,208.75784413,218.811094,18629495
2021-01-28,213.62509878,220.52540139,211.55759238,215.36525,13278373
2021-01-29,218.811094,229.94978473,218.811094,221.9984997,16025788
2021-02-01,222.17940651,227.38263095,218.25114435,219.88792025,11786784
2021-02-02,220.31003614,241.20908,220.30142153,240.50268198,22842030
2021-02-03,238.61608239,242.65633448,236.97069188,240.347619,13975944
2021-02-04,238.624697,251.44323668,237.40142238,240.39930666,17701582
2021-02-05,240.5199112,255.72469785,238.624697,247.91986119,17166124
2021-02-08,250.685151,257.21502538,241.20908,250.2544205,13474409
2021-02-09,251.50353895,257.41316141,248.66933226,256.8015241,10425006
2021-02-10,256.42248126,274.3753285,255.94867771,270.49013939,17446413
2021-02-18,279.96621039,282.26631126,251.1158815,251.8911964,23651442
