date,open,high,low,close,volume
2021-01-04,81.26613,83.772315,80.551251,81.356517,33882680
2021-01-05,80.584119,83.764098,79.7049,83.435418,35114801
2021-01-06,84.6351,86.11416,81.882405,82.958832,36020338
2021-01-07,83.8134,86.829039,83.15604,86.130594,45140052
2021-01-08,85.4568,86.03199,83.197125,84.643317,33069048
2021-01-11,84.79944,85.727961,82.17,82.9917,34189187
2021-01-12,82.424727,85.686876,82.424727,85.53897,35529586
2021-01-13,86.2785,86.861907,83.846268,84.914478,34348739
2021-01-14,85.12812,85.777263,81.668763,81.84132,37381528
2021-01-15,81.372951,82.309689,79.524126,81.915273,35743823
2021-01-18,81.668763,82.400076,80.123967,81.446904,28677180
2021-01-19,81.915273,82.260387,77.634216,77.938245,42307807
2021-01-20,78.8832,80.625204,78.47235,79.113276,32202327
2021-01-21,79.902108,82.9917,79.696683,82.25217,40930171
2021-01-22,82.17,83.427201,80.600553,82.638369,30775582
2021-01-25,82.9917,84.528279,81.10179,83.796966,37735992
2021-01-26,82.9917,82.9917,79.78707,80.477298,40767026
2021-01-27,79.778853,82.038528,79.195446,80.485515,28326851
2021-01-28,79.318701,79.696683,77.65065,78.192972,31057214
2021-01-29,78.349095,80.354043,76.976856,79.154361,37246508
2021-02-01,79.154361,80.945667,77.782122,80.69094,28606271
2021-02-02,80.03358,82.33434,80.03358,81.003186,31544355
2021-02-03,81.75915,82.49868,79.04754,80.230788,32395536
2021-02-04,79.121493,80.189703,78.250491,79.21188,36486402
2021-02-05,79.688466,80.830629,78.0615,79.910325,37262393
2021-02-08,79.918542,80.11575,77.56848,79.425522,37743563
2021-02-09,80.189703,83.73123,79.614513,83.73123,53712247
2021-02-10,84.569364,88.7436,83.40255,88.012287,53679907
2021-02-18,88.020504,88.217712,79.7049,80.77311,94042908
2021-02-19,78.069717,80.797761,78.069717,80.518383,69387709
2021-02-22,79.934976,79.934976,74.265246,74.314548,90398609
2021-02-23,73.172385,75.5964,72.991611,74.725398,60475531
2021-02-24,78.96537,81.01962,76.516704,78.077934,100354633
2021-02-25,77.97933,78.710643,75.67857,77.190498,41637020
2021-02-26,75.5964,77.642433,74.791134,76.483836,60112303
2021-03-01,76.74678,78.30801,75.456711,76.689261,37084402
2021-03-02,77.954679,78.751728,76.17159,76.845384,47339822
2021-03-03,76.196241,77.009724,75.18555,76.820733,33059187
2021-03-04,75.777174,76.072986,73.492848,73.87083,44634820
2021-03-05,71.956269,74.174859,70.690851,73.54215,40948709
2021-03-08,72.72045,73.714707,70.206048,70.25535,48829340
2021-03-09,69.556905,69.76233,67.13289,67.371183,56896333
2021-03-10,69.0228,69.565122,67.420485,68.743422,47316765
2021-03-11,69.499386,71.07705,68.61195,70.625115,40811644
2021-03-12,70.641549,72.334251,70.017057,70.633332,32364532
2021-03-15,69.688377,69.713028,66.5577,67.62591,49051385
2021-03-16,67.716297,68.225751,67.009635,67.855986,34926115
2021-03-17,67.387617,69.252876,66.853512,69.080319,37095228
2021-03-18,69.828066,71.4879,69.68016,71.249607,34703588
2021-03-19,69.8445,71.15922,69.343263,70.099227,30529185
2021-03-22,69.836283,70.280001,67.62591,68.513346,31409285
2021-03-23,68.513346,68.562648,66.615219,66.943899,36969597
2021-03-24,66.96855,67.773816,66.771342,67.116456,23536758
2021-03-25,66.615219,66.96855,65.16081,66.294756,24752483
2021-03-26,66.63987,67.79025,65.703132,67.387617,31083020
2021-03-29,67.346532,67.765599,66.5577,66.943899,29453524
2021-03-30,67.264362,68.603733,66.648087,67.765599,35197152
2021-03-31,68.03676,68.184666,66.763125,67.568391,27352508
2021-04-01,67.3794,70.567596,67.21506,70.197831,35204512
2021-04-02,70.25535,72.72045,69.76233,71.578287,29152538
2021-04-06,71.619372,72.06309,69.0228,69.335046,25766840
2021-04-07,69.335046,69.425433,67.280796,67.971024,29977466
2021-04-08,67.798467,68.135364,67.338315,67.938156,18211406
2021-04-09,68.184666,68.184666,65.933208,66.105765,32238556
2021-04-12,65.98251,66.771342,64.9143,65.16081,25277487
2021-04-13,64.873215,65.588094,64.191204,64.659573,21362828
2021-04-14,64.889649,66.253671,64.823913,65.842821,21069229
2021-04-15,65.842821,66.5577,64.881432,65.966076,17445281
2021-04-16,65.98251,66.22902,64.83213,65.65383,15347818
2021-04-19,65.736,67.469787,64.9143,67.108239,26759356
2021-04-20,66.623436,66.96855,65.760651,66.541266,23153386
