Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2021-01-04,207.9561309814453,213.02869534095603,205.2049037044896,212.57970992905,37130100
2021-01-05,208.15673828125,208.74902529905103,206.0551127566878,207.54535604544097,23823000
2021-01-06,202.75936889648438,206.8097850939476,202.46323269229157,202.68294429919243,35930700
2021-01-07,208.52928161621094,209.53233438460273,204.15408651290377,204.4693179251259,27694500
2021-01-08,209.79981994628906,210.71690054092753,207.3256337272198,208.90184914517474,22956200
2021-01-11,207.76507568359375,209.12157952096553,207.03904928013995,208.701251514019,23031300
2021-01-12,205.3195343017578,207.3925169546865,203.78153842458812,206.81933974373354,23249300
2021-01-13,206.66647338867188,207.06769157243323,204.36423170367146,204.45021848172806,20087100
2021-01-14,203.4949188232422,207.73638872403765,203.22744005260643,206.2556933016969,29480800
2021-01-15,203.1415252685547,204.91835748972647,202.5492527203324,203.97263385001733,31746500
2021-01-19,206.7620086669922,207.2778564550541,203.12237302041416,204.1922881817282,30480900
2021-01-20,214.3087921142578,215.69395347478093,207.57402496133145,207.9656955997527,37777300
2021-01-21,214.9105987548828,216.18113032934212,212.47461760314508,214.65266756607497,30709400
2021-01-22,215.84677124023438,219.7825576936173,215.703484235591,216.92624859688442,30172700
2021-01-25,219.26669311523438,219.5055145049017,214.19412913094075,218.87502253781977,33152100
2021-01-26,221.94154357910156,223.70881349882717,219.79215060739182,221.4925581033352,49169600
2021-01-27,222.4860076904297,229.68886918924537,219.84942471419154,227.35797002149073,69870600
2021-01-28,228.2463836669922,231.79049969167863,224.57809042509956,225.07484302342925,49111200
2021-01-29,221.58802795410156,227.37705567245254,221.0053032240349,225.43782730017324,42503100
2021-02-01,228.93417358398438,231.65674320065412,222.03701082648814,224.54941645846407,33314200
2021-02-02,228.80043029785156,231.4752326767527,228.01710374900568,230.51039954635098,25916300
2021-02-03,232.13438415527344,234.13092741775498,228.56161101991137,228.85776177893771,27158100
2021-02-04,231.18865966796875,232.36367143508832,229.6219918883106,231.80960404543467,25296100
2021-02-05,231.3701629638672,232.40187313232684,229.66975580932288,231.3988203649493,18054800
2021-02-08,231.62811279296875,232.78400026698355,230.04233511511973,232.27770003844776,22211900
2021-02-09,232.8699951171875,233.81571861476473,230.58686291698683,231.0549435728777,23565000
2021-02-10,231.9624481201172,234.9238246286542,230.1187393980578,234.0449636571625,22186700
2021-02-11,233.55775451660156,234.188231861373,231.32237539359443,233.8347808948269,15751100
2021-02-12,234.035400390625,234.33153656401527,231.87644582707026,233.02278551420997,16561100
2021-02-16,232.80308532714844,235.12443679051168,232.05796376520485,234.0736168562319,26728500
2021-02-17,233.81802368164062,233.92334770145064,230.69662531011264,231.0604745803787,21653500
2021-02-18,233.4254608154297,233.5595082453593,230.6200343854476,231.5200733907211,16925600
2021-02-19,230.72532653808594,233.492459581592,229.96890466577148,233.3871355719054,25262600
2021-02-22,224.54000854492188,227.8146085025634,222.51971275294736,227.32629596320396,36446900
2021-02-23,223.3527069091797,224.84638235438035,219.00571338525143,220.5376964424216,30228700
2021-02-24,224.57827758789062,225.20063745920083,219.26422894259488,220.23128425603434,26339700
2021-02-25,219.25466918945312,224.61658067323245,218.19185941267452,222.21329667802732,39542200
2021-02-26,222.5005645751953,225.36343789150433,219.78129368104075,221.6866957656996,37819200
2021-03-01,226.86668395996094,227.3741502565887,223.23780465757733,225.8708905631292,25324000
2021-03-02,223.92723083496094,227.21141518766257,223.52508849566448,226.9337360850043,22812500
2021-03-03,217.88548278808594,223.6495518308172,217.59823410434785,222.28992364520352,34029500
2021-03-04,217.09075927734375,222.60588703735615,214.72576809610288,217.1003434861413,44727800
2021-03-05,221.7537078857422,223.3527073519188,216.83223166317447,219.76213575150246,41872800
2021-03-08,217.7227325439453,223.4484945119107,217.47379145319076,221.53352258589504,35267400
2021-03-09,223.84104919433594,225.3730324555147,221.82075339106805,222.97931774121983,33080500
2021-03-10,222.53883361816406,226.92412005427826,222.17498436226296,226.92412005427826,29746800
2021-03-11,227.04864501953125,229.0019099034682,224.348527663124,224.97090228850325,29907600
2021-03-12,225.72727966308594,225.79431068260828,223.31441133153996,224.0612490943871,22653700
2021-03-15,224.8272705078125,225.19111983906194,221.95481269708776,224.9709021643943,26034900
2021-03-16,227.60400390625,229.85408724433438,225.90924959231737,226.23479132649652,28092200
2021-03-17,226.96238708496094,228.40819973529355,223.3143691758375,226.1102254594966,29562100
2021-03-18,220.91110229492188,224.23357884907625,220.53768345561124,222.6728724798709,34833000
2021-03-19,220.556884765625,222.5867502154878,219.5993988575651,221.19839857081604,46430700
2021-03-22,225.9570770263672,226.82837799232317,220.35577930626062,220.48025713428592,30127000
2021-03-23,227.47950744628906,230.80198476946413,226.9911948849572,227.39333721959682,31638400
2021-03-24,225.44960021972656,227.8816075865458,225.31555279966682,227.73799056865073,25620100
2021-03-25,222.4622344970703,226.86667476830124,221.72498099263913,225.29639873083224,34061900
2021-03-26,226.42625427246094,226.64648654164532,221.70585594983098,221.70585594983098,25479900
2021-03-29,225.23898315429688,226.7326587860595,222.0218300204716,226.53158032328759,25227500
2021-03-30,221.99310302734375,223.9080747520219,221.27498863058946,223.6016722632375,24792000
2021-03-31,225.7464141845703,228.9348434120641,222.5101077486613,223.00800441804873,43623500
2021-04-01,232.04666137695312,232.51582001169837,227.92947001346326,228.3316122475615,30338000
2021-04-05,238.48098754882812,239.333149299018,232.38179326413973,232.4392400726803,36910600
2021-04-06,237.3224334716797,238.7969551907756,236.38410146861867,237.08306201915883,22931900
2021-04-07,239.27569580078125,240.2619050069019,236.68091746198468,237.2745539833188,22719800
2021-04-08,242.48326110839844,243.33542282364596,241.28640394596803,242.02367204884553,23625200
2021-04-09,244.9727783203125,245.10682576462426,241.70774782876975,242.11945976127174,24326800
2021-04-12,245.0301971435547,246.71538151960232,243.79503226701306,243.88121709356932,27148700
2021-04-13,247.50051879882812,248.17077061108847,245.91108871216403,246.32282985291565,23837500
2021-04-14,244.72378540039062,247.82602995681816,244.3120735305234,246.53344753840463,23070900
2021-04-15,248.46759033203125,248.87930225500537,246.7728508131826,246.96433046053886,25627500
2021-04-16,249.6548309326172,249.9037865838757,246.6483408019082,248.438834520983,24878600
2021-04-19,247.73988342285156,250.36341456332264,246.85901279011068,249.1282496155156,23209300
2021-04-20,247.2803192138672,249.1378442074656,245.9206763716912,246.85902307799017,19722900
2021-04-21,249.5016326904297,249.59738711284092,246.3132178871805,247.93137119944473,24030400
2021-04-22,246.23666381835938,250.6506598285872,244.77169693784316,249.14739994018404,25606200
2021-04-23,250.04745483398438,250.3921649771297,246.33240460091693,246.9164862361913,21462600
2021-04-26,250.4303436279297,251.2825198261504,249.10903806259762,250.5356822369883,19763300
2021-04-27,250.8325653076172,252.0006991948617,249.06121066923387,250.45913180637936,31014200
2021-04-28,243.7375946044922,245.6334270987041,242.19604180812823,245.19296257106504,46903100
2021-04-29,241.7747039794922,245.21208867693898,238.4139344997838,244.59929842567976,40589000
2021-04-30,241.45877075195312,242.3205167691212,238.98847015559804,239.1225175880365,30945100
2021-05-03,241.15237426757812,243.53651917014565,240.4438295156719,242.62689597172758,19626600
2021-05-04,237.25537109375,240.52998498828993,235.31167632498756,240.30018316461653,32756100
2021-05-05,235.99151611328125,238.89269679330795,235.36915621416165,238.47140072187236,21901300
2021-05-06,239.11293029785156,239.23740812996687,234.28720818218096,235.9723779697014,26491100
2021-05-07,241.7268829345703,243.48865338351683,240.4917180124829,241.43005005006262,27032900
2021-05-10,236.67129516601562,241.02785778102194,236.61384836481838,240.20441954036124,29299900
2021-05-11,235.7617645263672,236.11604426745052,232.2573770062226,234.15319512172067,33641600
2021-05-12,228.83912658691406,233.9904053250569,227.9486717264203,231.87435509010888,36684400
2021-05-13,232.69776916503906,235.1585146453804,231.15621646675106,231.5200657402829,29624300
2021-05-14,237.60011291503906,238.58632219282524,235.05321160322504,235.13938182515005,23901100
2021-05-17,234.75634765625,236.10640606144966,233.16693242516902,236.0681130601291,24970200
2021-05-18,232.74563598632812,235.93406526132515,232.57328095548002,235.80001784180902,20168000
2021-05-19,233.32147216796875,233.42703939757578,228.98365334584912,229.6650298465588,25739800
2021-05-20,236.54605102539062,237.95680642050272,234.03165022443645,234.12762575703587,21800700
2021-05-21,235.28884887695312,238.3214941013183,234.87618630622384,237.59212984793598,21863100
2021-05-24,240.67276000976562,241.03744947626555,237.53454740378538,237.80326133368715,21411500
2021-05-25,241.57485961914062,242.56334606960098,240.7111384283455,241.62284738392032,17704300
2021-05-26,241.35415649414062,242.74571394261974,240.64397558156952,241.29656238462576,17771600
2021-05-27,239.26197814941406,241.34451819821592,239.20439869133438,241.04701456893127,24426200
2021-05-28,239.6171112060547,241.92039251622947,239.50195226588028,240.88391812322266,18270200
2021-06-01,237.428955078125,241.1621746137941,237.0067008356278,241.1045951554449,23213300
2021-06-02,237.3330078125,239.22361157042198,235.9318441224372,238.1295578675878,19406700
2021-06-03,235.80706787109375,236.4116667965383,233.20628353326998,235.3368112456959,25307700
2021-06-04,240.68231201171875,241.50765170138789,237.53450822875004,237.77443238686539,25281100
2021-06-07,243.58062744140625,243.84934135732763,239.74184047817525,239.90498716685534,23079200
2021-06-08,242.390625,245.6919842968053,242.33303089186523,244.876236168721,22455000
2021-06-09,243.36947631835938,245.23129021101894,243.00480153962016,243.5806107583811,17937600
2021-06-10,246.87240600585938,247.0835404823835,243.44629589828452,244.0413032536825,24563600
2021-06-11,247.49620056152344,248.0719951619915,246.26776064687272,247.5921468031884,18999700
2021-06-14,249.41563415527344,249.47321362459112,246.45014504729014,247.50581746415523,19150500
2021-06-15,247.9471893310547,249.5114994108037,247.29460269889398,249.3003649959735,18038900
2021-06-16,247.0067901611328,250.07780263564925,244.1660809242959,248.94536733481428,27220000
2021-06-17,250.3848419189453,251.2005899022256,245.69194068385687,245.74952013795982,27565500
2021-06-18,248.97412109375,251.72844608322075,248.3215343320705,249.1660721590066,37202200
2021-06-21,252.0451202392578,252.89923497520954,247.5249574987105,249.34837516306666,26696100
2021-06-22,254.8091278076172,255.0778417623295,251.82445528328145,252.13156531370257,24694100
2021-06-23,254.5787353515625,256.0758598739971,253.77259363083766,255.26971815327227,19518700
2021-06-24,255.94154357910156,257.0547953887674,254.77071230407563,255.4329054433391,21446900
2021-06-25,254.3387908935547,256.4789249266626,254.08928968479023,255.50004490547056,25611100
2021-06-28,257.88970947265625,258.06244785704735,255.1929639728323,255.46167788886962,19590000
2021-06-29,260.46173095703125,260.70165518033133,257.1795839833562,258.0336989887395,19937800
2021-06-30,259.9818115234375,260.42326377323786,258.7342176179776,259.7802834314268,21656500
2021-07-01,260.6536560058594,260.8839738651738,258.7342624112472,258.7438394636373,16725300
