date,open,high,low,close,volume
2021-01-04,35.8894862,38.625456,35.54346649,38.11044992,87538655
2021-01-05,38.7059257,41.72353945,38.7059257,40.98321821,125276269
2021-01-06,41.4418955,41.72353945,39.6715621,40.68548032,97835732
2021-01-07,40.7176682,41.71549248,39.80031362,41.59478793,98355135
2021-01-08,41.2809561,41.72353945,39.17264996,39.64742119,113557968
2021-01-11,39.430153,40.36360152,38.64154994,39.14046208,90644829
2021-01-12,39.1887439,40.23485,39.0278045,39.96929999,61285750
2021-01-13,40.09000454,40.6371985,38.68178479,39.10022723,77807589
2021-01-14,38.73811358,39.47038785,37.61153778,37.78052415,81171035
2021-01-15,37.29770595,37.97365143,36.8551226,37.53911505,69765378
2021-01-18,37.53911505,38.81858328,37.53911505,38.23115447,70675567
2021-01-19,38.23115447,38.27943629,36.99192109,37.12871958,63822949
2021-01-20,37.12067261,37.3379408,36.62176047,37.14481352,65172501
2021-01-21,37.2574711,37.4988802,36.22745894,37.21723625,98622642
2021-01-22,37.02410897,37.81271203,36.51714986,37.04824988,119443915
2021-01-25,37.12871958,39.36577724,37.12871958,39.29335451,152055108
2021-01-26,38.63350297,38.7863954,37.48278626,37.81271203,94322495
2021-01-27,37.97365143,37.9816984,36.38035137,37.18504837,82759501
2021-01-28,36.6941832,36.91949836,35.14916496,35.43885588,96681832
2021-01-29,35.66417104,36.01019075,35.06869526,35.5676074,77663335
2021-02-01,36.0504256,36.16308318,35.3261983,35.60784225,53356045
2021-02-02,35.60784225,36.52519683,35.34229224,36.19527106,77051545
2021-02-03,36.32402258,36.33206955,34.64220585,34.82728616,130760919
2021-02-04,34.81923919,35.66417104,34.33642099,35.18939981,79495944
2021-02-05,35.55151346,36.29988167,35.12502405,35.52737255,79759179
2021-02-08,35.94581499,36.82293472,35.62393619,36.79074684,89439787
2021-02-09,36.88731048,37.36208171,36.38839834,37.03215594,84801370
2021-02-10,37.03215594,37.70005445,36.63785441,37.41036353,85323531
2021-02-18,38.3035772,38.51279842,36.40449228,36.8551226,94251189
2021-02-19,36.99192109,38.93124086,36.43668016,38.81858328,113356573
2021-02-22,38.83467722,38.84272419,37.0965317,37.48278626,102000229
