,prob
2022-11-09,0.026954930275678635
2022-12-07,0.014300708658993244
2023-01-05,0.0017598740523681045
2023-02-09,5.299476129039249e-07
2023-03-09,0.003011822234839201
2023-04-07,2.17123329093738e-07
2023-05-10,2.4252046841866104e-06
2023-06-07,5.652249910781393e-06
2023-07-07,2.663802511904123e-09
2023-08-04,1.3133038123669394e-07
2023-09-01,1.582551522005815e-05
2023-10-09,0.0003897489223163575
2023-11-06,8.626759154140018e-06
2023-12-04,5.264143510430586e-06
2024-01-02,1.321778108831495e-05
2024-01-30,3.575445077785844e-07
2024-03-06,0.0034862293396145105
2024-04-03,1.5545259884675033e-05
2024-05-08,9.922253957483917e-05
2024-06-05,0.019105374813079834
2024-07-04,0.0002769924758467823
2024-08-01,0.010179679840803146
2024-08-29,0.0004445468366611749
2024-09-30,0.0038614023942500353
2024-11-04,1.391119781146699e-06
2024-12-02,0.0414908342063427
2024-12-30,5.3853342251386493e-05
2025-02-05,0.00014895093045197427
2025-03-05,4.449441348697292e-08
2025-04-02,1.0460699684244901e-07
2025-05-06,1.5296434412448434e-06
2025-06-04,0.12559202313423157
2025-07-02,0.2839775085449219
2025-07-30,0.012832601554691792
2025-08-27,0.001591465319506824
2025-09-24,0.005558790173381567
2025-10-30,0.07023956626653671
2025-11-27,0.16590207815170288
2025-12-25,0.23168031871318817
2026-01-26,1.8507058712202706e-06
2026-03-03,0.0037019008304923773
2026-03-31,0.12642917037010193
2026-04-29,0.6865368485450745
