,prob,uncertainty
2022-11-01,0.24968208372592926,0.42979803681373596
2022-11-29,0.4976280629634857,0.5231917500495911
2022-12-27,0.37422314286231995,0.5309308171272278
2023-02-01,0.5057615637779236,0.44206464290618896
2023-03-01,0.4626995623111725,0.48418375849723816
2023-03-29,0.44948434829711914,0.5010232329368591
2023-04-27,0.4138709604740143,0.5579737424850464
2023-05-30,0.5346048474311829,0.4640093147754669
2023-06-29,0.5730347633361816,0.5045507550239563
2023-07-27,0.3700397312641144,0.5089702606201172
2023-08-24,0.4859793484210968,0.4650632441043854
2023-09-21,0.7599985003471375,0.4663820266723633
2023-10-27,0.5726072192192078,0.510053813457489
2023-11-24,0.3753356635570526,0.4825669229030609
2023-12-22,0.5952448844909668,0.5630826354026794
2024-01-22,0.4469221830368042,0.485279381275177
2024-02-27,0.4214847683906555,0.5777443051338196
2024-03-26,0.4497109651565552,0.38645756244659424
2024-04-25,0.37410789728164673,0.6663163304328918
2024-05-28,0.4368557035923004,0.552475094795227
2024-06-26,0.5328934192657471,0.4960997402667999
2024-07-24,0.1736537665128708,0.4903531074523926
2024-08-21,0.568575382232666,0.38329827785491943
2024-09-20,0.6013064384460449,0.778134822845459
2024-10-25,0.6089411377906799,0.6176989674568176
2024-11-22,0.6562570333480835,0.5398711562156677
2024-12-20,0.5086923837661743,0.5176387429237366
2025-01-20,0.49365323781967163,0.554501473903656
2025-02-25,0.6455978751182556,0.4726535379886627
2025-03-25,0.3424183130264282,0.49725887179374695
2025-04-23,0.4182622730731964,0.49453112483024597
2025-05-26,0.14832112193107605,0.4802321791648865
2025-06-24,0.3701397180557251,0.44714683294296265
2025-07-22,0.615563690662384,0.4789034128189087
2025-08-19,0.5415841341018677,0.5303179025650024
2025-09-16,0.30385130643844604,0.48567840456962585
2025-10-22,0.3491173982620239,0.5066475868225098
2025-11-19,0.6295951008796692,0.5326938033103943
2025-12-17,0.3982731103897095,0.5003435015678406
2026-01-16,0.3767617642879486,0.43249690532684326
2026-02-13,0.6004465222358704,0.3992433547973633
2026-03-23,0.4823969006538391,0.41051605343818665
2026-04-21,0.3890175521373749,0.635692298412323
2026-05-22,0.589038074016571,0.4573635458946228
