,prob,uncertainty
2022-11-01,0.016614362597465515,0.05836375802755356
2022-11-29,0.6197505593299866,0.5029644966125488
2022-12-27,0.6554322242736816,0.4546995162963867
2023-02-01,0.6839644908905029,0.4635319411754608
2023-03-01,0.48458901047706604,0.5084853172302246
2023-03-29,0.45587456226348877,0.5835892558097839
2023-04-27,0.40987521409988403,0.48321619629859924
2023-05-30,0.45029217004776,0.49248403310775757
2023-06-29,0.3916928172111511,0.508489727973938
2023-07-27,0.3855954706668854,0.3700617849826813
2023-08-24,0.4871842861175537,0.4491044878959656
2023-09-21,0.5138536691665649,0.49361011385917664
2023-10-27,0.4775925874710083,0.46996477246284485
2023-11-24,0.42471176385879517,0.49115708470344543
2023-12-22,0.5133729577064514,0.4766455292701721
2024-01-22,0.6154943108558655,0.5639201998710632
2024-02-27,0.47088077664375305,0.497599333524704
2024-03-26,0.38591763377189636,0.38858965039253235
2024-04-25,0.5141456127166748,0.4470753073692322
2024-05-28,0.3249872028827667,0.5168675780296326
2024-06-26,0.7104146480560303,0.5379363298416138
2024-07-24,0.5162980556488037,0.5275729298591614
2024-08-21,0.6372708678245544,0.5126393437385559
2024-09-20,0.37367239594459534,0.46848392486572266
2024-10-25,0.48916828632354736,0.5198513269424438
2024-11-22,0.53663569688797,0.7148122787475586
2024-12-20,0.3635556399822235,0.43744635581970215
2025-01-20,0.4809708595275879,0.4834687411785126
2025-02-25,0.1353393793106079,0.5139831304550171
2025-03-25,0.48355016112327576,0.8375709056854248
2025-04-23,0.633344829082489,0.7003211975097656
2025-05-26,0.39250344038009644,0.508762538433075
2025-06-24,0.48630616068840027,0.45614826679229736
2025-07-22,0.5740835070610046,0.47994890809059143
2025-08-19,0.3837423622608185,0.5214666128158569
2025-09-16,0.5934457182884216,0.5109157562255859
2025-10-22,0.5711018443107605,0.5396234393119812
2025-11-19,0.5029740333557129,0.5092065334320068
2025-12-17,0.34564560651779175,0.5243876576423645
2026-01-16,0.41076746582984924,0.46533334255218506
2026-02-13,0.3778713643550873,0.49587371945381165
2026-03-23,0.685668408870697,0.6739157438278198
2026-04-21,0.5361760258674622,0.47777947783470154
2026-05-22,0.7466232776641846,0.5050882697105408
