,prob
2022-11-01,7.447960797435371e-06
2022-11-29,0.0017344217048957944
2022-12-27,0.08350317180156708
2023-02-01,0.12857115268707275
2023-03-01,0.004604702349752188
2023-03-29,0.007291555870324373
2023-04-27,0.04103551805019379
2023-05-30,0.0501139834523201
2023-06-29,0.08988000452518463
2023-07-27,0.07869216054677963
2023-08-24,0.005668784491717815
2023-09-21,0.027683865278959274
2023-10-27,1.4379048479895573e-05
2023-11-24,2.355459400860127e-05
2023-12-22,4.593245103023946e-05
2024-01-22,0.003321089083328843
2024-02-27,0.0008913593483157456
2024-03-26,0.000916328513994813
2024-04-25,4.0309536416316405e-05
2024-05-28,0.002634446369484067
2024-06-26,6.6190605139127e-06
2024-07-24,0.0004340146260801703
2024-08-21,0.0004691725771408528
2024-09-20,0.0001303841854678467
2024-10-25,0.001501574763096869
2024-11-22,4.574595550366212e-06
2024-12-20,0.012071856297552586
2025-01-20,3.0523112791620843e-13
2025-02-25,0.08968540281057358
2025-03-25,0.005620772019028664
2025-04-23,0.0008898421656340361
2025-05-26,0.02890024706721306
2025-06-24,0.014619434252381325
2025-07-22,7.027919491520151e-05
2025-08-19,3.0349463486345485e-05
2025-09-16,0.0002027132868533954
2025-10-22,0.014239530079066753
2025-11-19,0.0006206032703630626
2025-12-17,0.0009779339889064431
2026-01-16,0.006288477685302496
2026-02-13,0.0024236480239778757
2026-03-23,6.303873192337051e-07
2026-04-21,0.08262033015489578
2026-05-22,0.0003293871704954654
