,prob,uncertainty
2022-11-01,0.6418017148971558,0.593101978302002
2022-11-29,0.43054813146591187,0.5997822284698486
2022-12-27,0.41131314635276794,0.5212969183921814
2023-02-01,0.28959226608276367,0.4888395071029663
2023-03-01,0.5787455439567566,0.560375988483429
2023-03-29,0.3911242187023163,0.4643005132675171
2023-04-27,0.18816138803958893,0.43439656496047974
2023-05-30,0.23219363391399384,0.49728089570999146
2023-06-29,0.3287060856819153,0.4148532450199127
2023-07-27,0.32480788230895996,0.4823320209980011
2023-08-24,0.39389944076538086,0.5612325072288513
2023-09-21,0.442133367061615,0.506310224533081
2023-10-27,0.480936735868454,0.48459237813949585
2023-11-24,0.6376399993896484,0.4937414824962616
2023-12-22,0.40095993876457214,0.41312938928604126
2024-01-22,0.12180342525243759,0.39526137709617615
2024-02-27,0.1348005086183548,0.49627169966697693
2024-03-26,0.3010232746601105,0.4946529269218445
2024-04-25,0.16576436161994934,0.35893532633781433
2024-05-28,0.316238671541214,0.4746257960796356
2024-06-26,0.5244905352592468,0.539810061454773
2024-07-24,0.4833400249481201,0.5178200006484985
2024-08-21,0.6612446904182434,0.5003417730331421
2024-09-20,0.8486713767051697,0.4937164783477783
2024-10-25,0.5958573818206787,0.4199843406677246
2024-11-22,0.5011113882064819,0.4718833565711975
2024-12-20,0.533722460269928,0.5746584534645081
2025-01-20,0.5230938196182251,0.4035174250602722
2025-02-25,0.4918827712535858,0.489753395318985
2025-03-25,0.31136688590049744,0.5544673800468445
2025-04-23,0.7079957723617554,0.429104208946228
2025-05-26,0.5160175561904907,0.43187063932418823
2025-06-24,0.5098608136177063,0.558474063873291
2025-07-22,0.3253832161426544,0.44150474667549133
2025-08-19,0.4565798342227936,0.4804438352584839
2025-09-16,0.52613365650177,0.6180092096328735
2025-10-22,0.5958499908447266,0.49453166127204895
2025-11-19,0.34006837010383606,0.541762113571167
2025-12-17,0.5714730024337769,0.5596256852149963
2026-01-16,0.5180253386497498,0.43707624077796936
2026-02-13,0.41665908694267273,0.4789524972438812
2026-03-23,0.6723805665969849,0.4774288535118103
2026-04-21,0.6324102282524109,0.5331575870513916
2026-05-22,0.4642599821090698,0.49819740653038025
