seed,sharpe_ratio,annual_return,max_drawdown,win_rate,total_trades
42,5.75,2.5416,-0.023700000000000002,0.44189999999999996,42.0
43,4.31,2.1526,-0.037000000000000005,0.45,39.0
44,2.54,0.6219,-0.0379,0.4211,37.0
45,3.05,1.1387,-0.0461,0.4118,33.0
46,-1.41,-0.19149999999999998,-0.0565,0.35,39.0
