,prob
2022-11-01,0.20212556421756744
2022-11-29,0.025459522381424904
2022-12-27,0.056656960397958755
2023-02-01,0.11251996457576752
2023-03-01,0.0011467448202893138
2023-03-29,0.0031614270992577076
2023-04-27,3.1904131901683286e-05
2023-05-30,7.4962958933610935e-06
2023-06-29,1.6408284864155576e-05
2023-07-27,0.014411653392016888
2023-08-24,3.956486125389347e-06
2023-09-21,0.00047240479034371674
2023-10-27,5.511340006592036e-08
2023-11-24,0.0005138000124134123
2023-12-22,0.0007925560930743814
2024-01-22,0.004490419756621122
2024-02-27,0.005363092757761478
2024-03-26,0.0006342620472423732
2024-04-25,0.00245560216717422
2024-05-28,0.006977645680308342
2024-06-26,0.007109893951565027
2024-07-24,0.07247054576873779
2024-08-21,0.039289508014917374
2024-09-20,0.1187049075961113
2024-10-25,0.011786126531660557
2024-11-22,0.03688543662428856
2024-12-20,0.02957201935350895
2025-01-20,0.25856441259384155
2025-02-25,0.020737210288643837
2025-03-25,0.01557187456637621
2025-04-23,0.0018997290171682835
2025-05-26,0.0019302626606076956
2025-06-24,0.07330819219350815
2025-07-22,0.052688680589199066
2025-08-19,0.012343323789536953
2025-09-16,0.00023463170509785414
2025-10-22,0.07028811424970627
2025-11-19,0.007890920154750347
2025-12-17,0.0447978638112545
2026-01-16,0.002963016042485833
2026-02-13,0.040466807782649994
2026-03-23,0.03460267558693886
2026-04-21,0.04626338556408882
2026-05-22,0.03965700417757034
