,prob
2022-11-01,0.0013112225569784641
2022-11-29,1.6442086234746967e-06
2022-12-27,8.329753105289822e-17
2023-02-01,8.598873137088958e-06
2023-03-01,2.7956632493442157e-06
2023-03-29,4.924955874230363e-07
2023-04-27,0.00022635406639892608
2023-05-30,9.59513727138983e-07
2023-06-29,2.413269806211815e-09
2023-07-27,8.201122909667902e-06
2023-08-24,0.006382309831678867
2023-09-21,0.00010972024756483734
2023-10-27,1.3002189689359511e-06
2023-11-24,0.03960326686501503
2023-12-22,0.08003605157136917
2024-01-22,0.004959512501955032
2024-02-27,0.43671515583992004
2024-03-26,0.06430596113204956
2024-04-25,0.10185692459344864
2024-05-28,2.9530428946600296e-07
2024-06-26,2.0627166463782487e-07
2024-07-24,2.333751467631373e-07
2024-08-21,5.414507313616923e-07
2024-09-20,0.026431236416101456
2024-10-25,0.3753916323184967
2024-11-22,1.0628938440504498e-07
2024-12-20,3.7522374896070687e-07
2025-01-20,3.727603295478055e-11
2025-02-25,1.2464722658478422e-06
2025-03-25,0.05623412877321243
2025-04-23,0.2045874446630478
2025-05-26,0.4188555181026459
2025-06-24,0.00031474357820115983
2025-07-22,0.4301212430000305
2025-08-19,0.41515254974365234
2025-09-16,0.004754313267767429
2025-10-22,0.33378440141677856
2025-11-19,0.2881963849067688
2025-12-17,0.16260620951652527
2026-01-16,0.4510538876056671
2026-02-13,9.863808658749917e-10
2026-03-23,0.15625976026058197
2026-04-21,0.018167011439800262
2026-05-22,0.005715586245059967
