Stock,F1,AUC
招商银行,0.4673231871083259,0.4848024223146562
平安银行,0.5221932114882507,0.520958194598594
中信证券,0.4839857651245551,0.49348439562205787
贵州茅台,0.484526967285588,0.49197074696430754
五粮液,0.44981412639405205,0.47325349301397207
宁德时代,0.48257372654155495,0.49003434318655703
