seed,sharpe_ratio,annual_return,max_drawdown,win_rate,total_trades
42,-0.87,-0.1235,-0.0683,0.2791,42.0
43,-0.22,-0.0404,-0.0808,0.35710000000000003,41.0
44,0.33,0.0759,-0.0643,0.3171,40.0
45,0.31,0.0761,-0.0755,0.3721,42.0
46,2.14,0.512,-0.0547,0.3953,42.0
