股票,夏普比率,年化收益率,最大回撤,胜率,交易次数
招商银行,3.18,49.44%,-1.72%,39.13%,22
平安银行,1.46,22.37%,-3.39%,41.18%,33
中信证券,0.73,6.81%,-1.09%,28.00%,24
贵州茅台,0.53,6.10%,-1.49%,45.16%,30
五粮液,2.39,30.29%,-2.60%,55.88%,33
宁德时代,-1.82,-11.60%,-4.17%,31.25%,31
