,prob
2022-11-01,0.2537600100040436
2022-11-29,0.196979820728302
2022-12-27,0.06776817888021469
2023-02-01,0.05985357612371445
2023-03-01,0.006225663237273693
2023-03-29,0.00836003478616476
2023-04-27,1.3741430215929995e-09
2023-05-30,0.0011662507895380259
2023-06-29,0.21106378734111786
2023-07-27,0.0008852480095811188
2023-08-24,0.04214423522353172
2023-09-21,1.2396543752402067e-05
2023-10-27,0.13514085114002228
2023-11-24,0.09986643493175507
2023-12-22,0.05789000913500786
2024-01-22,0.023285074159502983
2024-02-27,0.3779214024543762
2024-03-26,7.946352451916605e-13
2024-04-25,0.004069237038493156
2024-05-28,0.04099657014012337
2024-06-26,0.011867297813296318
2024-07-24,0.007522027939558029
2024-08-21,0.004331372678279877
2024-09-20,3.563167410902679e-05
2024-10-25,0.0005238096346147358
2024-11-22,0.015111974440515041
2024-12-20,3.657000343082473e-05
2025-01-20,8.021797270885145e-08
2025-02-25,6.797464448027313e-05
2025-03-25,0.0012507447972893715
2025-04-23,0.026852410286664963
2025-05-26,0.17718873918056488
2025-06-24,0.045372042804956436
2025-07-22,0.00021913448290433735
2025-08-19,1.3794745790107754e-08
2025-09-16,0.025977708399295807
2025-10-22,0.019747482612729073
2025-11-19,0.03645868971943855
2025-12-17,0.20938585698604584
2026-01-16,3.024292141162732e-07
2026-02-13,0.0026636093389242887
2026-03-23,0.16678093373775482
2026-04-21,0.0984097346663475
2026-05-22,0.02781638689339161
