,prob
2022-11-01,0.008309237658977509
2022-11-29,1.049712650136314e-09
2022-12-27,0.14466194808483124
2023-02-01,0.040460143238306046
2023-03-01,1.8617339614390715e-10
2023-03-29,0.002215456683188677
2023-04-27,2.5319375254184706e-06
2023-05-30,0.02394287660717964
2023-06-29,7.1171925810631365e-06
2023-07-27,3.37124292855151e-05
2023-08-24,0.00022675325453747064
2023-09-21,4.276031972949568e-08
2023-10-27,3.171882951846783e-07
2023-11-24,3.602615095132933e-07
2023-12-22,8.742440513742622e-07
2024-01-22,2.0696526803476445e-07
2024-02-27,8.854195243657159e-07
2024-03-26,4.590979685303864e-08
2024-04-25,1.6740543173909828e-07
2024-05-28,1.1567647817400939e-07
2024-06-26,2.204663758220704e-07
2024-07-24,0.0001486029359512031
2024-08-21,1.076976801073215e-07
2024-09-20,0.07554224133491516
2024-10-25,0.02377864345908165
2024-11-22,0.0002651005925145
2024-12-20,1.1211952966050376e-07
2025-01-20,0.7587592601776123
2025-02-25,0.00013400139869190753
2025-03-25,1.0514775112824282e-06
2025-04-23,8.798346016192227e-07
2025-05-26,0.000519747321959585
2025-06-24,0.00025247421581298113
2025-07-22,7.924754186205973e-09
2025-08-19,5.263420916890027e-06
2025-09-16,6.952092945766708e-08
2025-10-22,0.10896097123622894
2025-11-19,5.497203687809815e-07
2025-12-17,1.2674374829657609e-06
2026-01-16,8.611726661911234e-05
2026-02-13,3.2678053685231134e-06
2026-03-23,7.102100880729267e-07
2026-04-21,3.2149301887329784e-07
2026-05-22,3.3437170259276172e-06
