,prob
2022-11-01,0.167266383767128
2022-11-29,0.007123681250959635
2022-12-27,0.026534125208854675
2023-02-01,0.03890417143702507
2023-03-01,0.008609192445874214
2023-03-29,0.003998213447630405
2023-04-27,0.0004564697155728936
2023-05-30,0.00044577685184776783
2023-06-29,9.188825970340986e-06
2023-07-27,6.797588139306754e-05
2023-08-24,3.4591706935316324e-05
2023-09-21,3.8638069099761196e-07
2023-10-27,3.861136065097526e-06
2023-11-24,0.0002915856894105673
2023-12-22,5.760564818046987e-06
2024-01-22,0.15422385931015015
2024-02-27,0.25387221574783325
2024-03-26,0.009997034445405006
2024-04-25,0.16885621845722198
2024-05-28,1.8342032035434386e-06
2024-06-26,0.005785348359495401
2024-07-24,0.01036122627556324
2024-08-21,0.06476570665836334
2024-09-20,0.2187129706144333
2024-10-25,0.00020639531430788338
2024-11-22,4.403027248356395e-11
2024-12-20,3.388666073078639e-06
2025-01-20,3.42368196015741e-07
2025-02-25,0.031048106029629707
2025-03-25,4.605970025295392e-05
2025-04-23,0.0023578002583235502
2025-05-26,7.47481535654515e-05
2025-06-24,0.02063186839222908
2025-07-22,0.006740132346749306
2025-08-19,0.0018122221808880568
2025-09-16,0.13540245592594147
2025-10-22,0.0015104265185073018
2025-11-19,0.11421876400709152
2025-12-17,0.0015249750576913357
2026-01-16,0.00542096234858036
2026-02-13,0.0033513151574879885
2026-03-23,0.12472841888666153
2026-04-21,0.3293260931968689
2026-05-22,0.010361142456531525
