,prob,uncertainty
2022-11-01,0.4530342221260071,0.5340548753738403
2022-11-29,0.4492342174053192,0.435640424489975
2022-12-27,0.21096473932266235,0.4616144001483917
2023-02-01,0.33048248291015625,0.42314931750297546
2023-03-01,0.5645977854728699,0.4171478748321533
2023-03-29,0.4432995915412903,0.4605027735233307
2023-04-27,0.46865135431289673,0.4301137626171112
2023-05-30,0.2532729208469391,0.3600154519081116
2023-06-29,0.33603665232658386,0.44732895493507385
2023-07-27,0.486039936542511,0.5051717758178711
2023-08-24,0.1999277025461197,0.5200371146202087
2023-09-21,0.48824256658554077,0.4816693365573883
2023-10-27,0.4107217788696289,0.47119951248168945
2023-11-24,0.4730006456375122,0.5366672873497009
2023-12-22,0.3867061138153076,0.5138611197471619
2024-01-22,0.3844091296195984,0.481463760137558
2024-02-27,0.4435209631919861,0.37505534291267395
2024-03-26,0.3789774179458618,0.536017656326294
2024-04-25,0.7444742918014526,0.7949879169464111
2024-05-28,0.7295569181442261,0.4496140778064728
2024-06-26,0.16900072991847992,0.5162996053695679
2024-07-24,0.49002841114997864,0.4673745036125183
2024-08-21,0.36191922426223755,0.4189057946205139
2024-09-20,0.572589099407196,0.482003778219223
2024-10-25,0.20862160623073578,0.4382161796092987
2024-11-22,0.3984403908252716,0.5587041974067688
2024-12-20,0.49676650762557983,0.6269603371620178
2025-01-20,0.5423104763031006,0.6065837144851685
2025-02-25,0.24717292189598083,0.37449386715888977
2025-03-25,0.3570958077907562,0.5066594481468201
2025-04-23,0.4534863233566284,0.47950392961502075
2025-05-26,0.39614424109458923,0.3897857666015625
2025-06-24,0.376720130443573,0.4881150722503662
2025-07-22,0.3855236768722534,0.5140923857688904
2025-08-19,0.5177919268608093,0.5041467547416687
2025-09-16,0.4620339870452881,0.4593188166618347
2025-10-22,0.4552531838417053,0.4830894470214844
2025-11-19,0.4891689717769623,0.5282805562019348
2025-12-17,0.3358316719532013,0.44165486097335815
2026-01-16,0.36168187856674194,0.37322157621383667
2026-02-13,0.5812227129936218,0.547971785068512
2026-03-23,0.35655876994132996,0.49051693081855774
2026-04-21,0.5281585454940796,0.4610448479652405
2026-05-22,0.2686459720134735,0.3495839834213257
