,prob
2022-11-01,2.676909502952185e-07
2022-11-29,4.010010172805778e-07
2022-12-27,1.9401932149776258e-07
2023-02-01,0.3964509069919586
2023-03-01,7.08812081029464e-07
2023-03-29,1.711592432229736e-07
2023-04-27,0.004560873843729496
2023-05-30,1.693130116109387e-06
2023-06-29,1.2610061276063789e-05
2023-07-27,2.1318417111615418e-06
2023-08-24,1.227320717589464e-05
2023-09-21,0.00011228880612179637
2023-10-27,1.1361711585777812e-05
2023-11-24,2.1511593786271987e-06
2023-12-22,4.886512670054799e-06
2024-01-22,1.8305408389096556e-07
2024-02-27,0.1332709640264511
2024-03-26,0.05529315024614334
2024-04-25,9.870260555544519e-07
2024-05-28,3.5154840816176147e-07
2024-06-26,1.8998125028701907e-07
2024-07-24,2.0341545337032585e-07
2024-08-21,2.172622089346987e-06
2024-09-20,4.626290035503189e-07
2024-10-25,0.3790619671344757
2024-11-22,1.3027219836203585e-07
2024-12-20,1.7114649608629406e-06
2025-01-20,6.530488150247038e-08
2025-02-25,1.6820141013340617e-07
2025-03-25,3.9078761915334326e-07
2025-04-23,0.01344966795295477
2025-05-26,0.1616114377975464
2025-06-24,0.42771288752555847
2025-07-22,0.4441729784011841
2025-08-19,0.014475894160568714
2025-09-16,8.816549712520327e-10
2025-10-22,0.12900477647781372
2025-11-19,0.007269980385899544
2025-12-17,0.0045876274816691875
2026-01-16,0.0006124909850768745
2026-02-13,1.0895097801721931e-07
2026-03-23,2.484945298419916e-07
2026-04-21,0.3660232126712799
2026-05-22,1.2551558370432758e-07
