uncertainty,ood_distance,gate_weight
0.045976331392642046,473.3421619463831,0.8061772760581123
0.04592269947737917,416.7186461260144,0.851417513514433
0.058699881339261094,378.0252965086416,0.7301941051207202
0.05516260383210207,383.8074069808887,0.7676373649268918
0.06745399419517714,400.72895467194473,0.6083727788089041
0.06853853580660041,419.52805340374726,0.5806876396476436
0.07793516091747742,404.9348923663702,0.48061723834009284
0.0716799204859481,398.96355300848484,0.5595891804310047
0.07907368250998012,462.2236967666439,0.4219720915744216
0.06870265927172158,466.02956119566795,0.5421088475548322
0.061760037282320324,537.0353290163902,0.5686056449845934
0.0768937092648971,462.5161537827974,0.4476244455595919
0.057707419200275084,561.452907405801,0.5974879929710194
0.06908913815779401,717.5648356301554,0.3393808688788601
0.07628871889677023,758.6632782320314,0.22152649819967074
0.07005426863655298,734.912914451117,0.3142564901416163
0.08140404378231159,733.6099917986775,0.1805274380861921
0.0762569529144445,773.3087465494243,0.21036712806046154
0.059347591315587755,759.9262231746203,0.4216729274654629
0.05527533929334273,787.5651212111372,0.44825089090944503
0.05328130558739623,813.6180181051674,0.4514035826430125
0.060454682341459766,830.7068439705927,0.35277318271656144
0.05571653597667025,537.3973677115288,0.6400746898958876
0.057123159230975135,515.8578609357274,0.6403410100452261
0.06588745553086385,513.3662629565271,0.538245579823362
0.06558762654540413,542.1938104433676,0.5190974047027557
0.07883781556391024,527.5683643740919,0.3732992371168805
0.06671378710013003,527.7705062420015,0.5170880722642316
0.0640162286094685,530.6368970116757,0.5468581547755833
0.07575891498065279,561.9379201414423,0.3827813090528793
0.06443736312913738,547.5131470532347,0.5285642854661243
0.07131870786263557,582.7434188273611,0.4191107918473227
0.07235739228638984,546.4988686631642,0.4353290885825132
0.06536284166705886,536.4805652894954,0.5262667025364888
0.06261661479632018,527.9665969585391,0.5655791575176952
0.07252754967318943,535.3493502611338,0.44209151437022076
0.07562856853398021,545.8004995555168,0.39704067349433636
0.07307509315146704,563.356604012945,0.41352868425321765
0.0778107987067134,535.3996479411335,0.37932410629811353
0.07532937637987622,529.928923131003,0.41309532500162893
0.06777436248745743,540.4682063327957,0.4944936759393427
0.06711702526736388,529.0476195151294,0.5112944354298925
0.060079841912696004,532.6938030348613,0.5919744382853187
0.0628868526258319,580.1572439618678,0.5212590262075955
0.06265599607960444,567.5175318576656,0.5339565282790362
0.06333726355462162,721.8091534235708,0.4043292941932325
0.07326469311834152,647.3473847055844,0.34511636589627326
0.06967913978369668,645.1587295228102,0.3894115329354031
0.07987649546680507,528.6435349886655,0.3601201022429168
0.06807543875108243,526.6317666232775,0.5018182488372547
0.07392825605034045,527.2961911401942,0.4318046214388864
0.06662776553524039,526.9426308206374,0.5187615365011815
0.07339237696515703,527.7659920657377,0.43779701915253033
0.08172382571066858,551.1116529565463,0.3204882472689815
0.07583529685564662,575.9636021657516,0.3708261220476212
0.07095012495536959,588.1447184881621,0.4192322497651084
0.07553499154493391,549.8955461862055,0.39492595947868947
0.08683109356567993,551.4338487495928,0.2595960765847304
0.06719436512875325,513.4156125012768,0.5226898249967169
0.06542266083825966,540.0182862738288,0.5227697390164229
0.06491943560989581,537.98647902846,0.5303450053404296
0.05620274709200063,528.6789644655983,0.6411695857209777
0.07138359671172709,623.8109380619535,0.3859906687787408
0.06524544388713012,571.5485013311304,0.5000368515834169
0.06712808557176946,587.8549972709096,0.4648393774491879
0.07391423437607861,626.6878648933367,0.353678304683257
0.0791833658218396,581.7179759069905,0.3265418093289112
0.07521624891732946,552.3810845582017,0.3967524689874089
0.06264833776917673,607.910527728701,0.5022290899526582
0.07718029106074563,464.25744273725223,0.44285022438086974
0.06917124709594703,476.44513298062077,0.5283407717917346
0.08458884575745806,458.5935552536728,0.35935033110800263
0.0736563065197114,466.82026014346656,0.4826715584626473
0.06951858549107998,471.3519865870591,0.5282288105999426
0.08309145902468273,454.49429498948086,0.38035780784163653
0.07500620951723344,450.60477162937605,0.47941748084297997
0.08787966008240947,448.0713011700721,0.32856722328868027
0.06332766904457936,476.4801803881023,0.5976937140714969
0.065342727759969,472.46603889853543,0.5769310279528372
0.05947895313504698,465.62819116649587,0.6519376792859022
0.05335511339923602,458.96072632319266,0.7298978584627671
0.05303354412556661,485.79252863925905,0.7125798929547289
0.08238398529354211,432.9915609449011,0.40569574358020477
0.06402648620054173,590.0352316157981,0.49994711892884314
0.06875082931229066,459.38377380847623,0.5467719454641903
0.05030955986441365,487.71622844446415,0.7434063038938125
0.051572653774766844,496.83693910128443,0.7212250795135623
0.06918002619164627,472.7087642923336,0.531179749793524
0.055395203990907575,540.6261144335982,0.6413465027635585
0.07993376514324539,587.3326470534087,0.3132095626176048
0.06972374908495206,657.404931110019,0.3792353124094312
0.06807594811268623,616.3958530606203,0.43110324746790063
0.062238746818238426,594.2462891520556,0.5178557377426932
0.05915246032356377,368.9276504124659,0.7319870509104156
0.04967392715195793,360.6931403198155,0.8510117530275437
0.053969675922726244,432.2030936362362,0.7436787028801384
0.05857074470570418,382.67782083837034,0.7280624529726127
0.07352172587159153,376.81721576825134,0.5551666143399829
0.0647336701180146,375.24034537378543,0.6607489528733574
0.07639770778572319,391.26545042292867,0.5096390438857629
0.06275377372886695,488.5109453587456,0.5950306758512358
0.05639916669598568,444.6954283507221,0.7049930036875669
0.06239839019216488,416.0126743345274,0.6563584572475941
0.058547038925705404,451.2993232860502,0.6742893902669013
0.053121975682244166,378.09915273721447,0.7963621600576161
0.06439717509415455,407.18288966531856,0.6395823671913292
0.06625474863170737,386.62969985052473,0.6337176326443124
0.05169591892581788,377.9873242212862,0.8133817598781099
0.06155483564890003,433.0348139251956,0.652965266464779
0.058976299763596716,401.87695868800574,0.7081237730773589
0.050205985648116756,399.3418828711227,0.8142502633505602
0.06647456611535646,420.9709007135337,0.6040565031654616
0.06644076735317857,410.9026958467893,0.6123887193527642
