,prob,uncertainty
2022-11-01,0.38775092363357544,0.4623929262161255
2022-11-29,0.3286909759044647,0.44529297947883606
2022-12-27,0.4628106653690338,0.5164051651954651
2023-02-01,0.9052198529243469,0.46811535954475403
2023-03-01,0.4286994934082031,0.5027831792831421
2023-03-29,0.6021232604980469,0.4945378303527832
2023-04-27,0.375108003616333,0.5609963536262512
2023-05-30,0.39904579520225525,0.4391460716724396
2023-06-29,0.38952916860580444,0.44832295179367065
2023-07-27,0.24207520484924316,0.5877902507781982
2023-08-24,0.5883397459983826,0.5100930333137512
2023-09-21,0.4182541072368622,0.5007080435752869
2023-10-27,0.5319287180900574,0.5178260803222656
2023-11-24,0.47103407979011536,0.4902821183204651
2023-12-22,0.8535745739936829,0.455758273601532
2024-01-22,0.5233706831932068,0.5443837642669678
2024-02-27,0.5825434327125549,0.41518348455429077
2024-03-26,0.34961622953414917,0.432291716337204
2024-04-25,0.6360237002372742,0.547914445400238
2024-05-28,0.609423816204071,0.3973522484302521
2024-06-26,0.5108951330184937,0.6093166470527649
2024-07-24,0.6011694669723511,0.47781357169151306
2024-08-21,0.5574702024459839,0.5199317336082458
2024-09-20,0.5736451745033264,0.4364032447338104
2024-10-25,0.3958544433116913,0.49947109818458557
2024-11-22,0.35819491744041443,0.534475564956665
2024-12-20,0.226249560713768,0.5446663498878479
2025-01-20,0.4316409230232239,0.5151260495185852
2025-02-25,0.20409348607063293,0.4761887788772583
2025-03-25,0.33276277780532837,0.5740537643432617
2025-04-23,0.5685429573059082,0.44978803396224976
2025-05-26,0.2057459056377411,0.49690356850624084
2025-06-24,0.7665769457817078,0.42013245820999146
2025-07-22,0.5089498162269592,0.4915821850299835
2025-08-19,0.4479064643383026,0.5534824132919312
2025-09-16,0.5774068236351013,0.4411761164665222
2025-10-22,0.6717790961265564,0.5847136378288269
2025-11-19,0.3287651538848877,0.4796268939971924
2025-12-17,0.2920113205909729,0.4551447033882141
2026-01-16,0.6964073777198792,0.4118051826953888
2026-02-13,0.5226679444313049,0.6379328370094299
2026-03-23,0.7849559783935547,0.45098602771759033
2026-04-21,0.6659401059150696,0.360006183385849
2026-05-22,0.4205808639526367,0.46315285563468933
