,prob,uncertainty
2022-11-01,0.29150527715682983,0.42618876695632935
2022-11-29,0.6217239499092102,0.39334040880203247
2022-12-27,0.6622596383094788,0.4419316053390503
2023-02-01,0.46990105509757996,0.48506274819374084
2023-03-01,0.5347842574119568,0.4169504642486572
2023-03-29,0.3079052269458771,0.4135550558567047
2023-04-27,0.6535228490829468,0.4655265808105469
2023-05-30,0.718798041343689,0.5220118761062622
2023-06-29,0.30330637097358704,0.3970610797405243
2023-07-27,0.40107059478759766,0.5428838133811951
2023-08-24,0.4453219473361969,0.4974873960018158
2023-09-21,0.6385406255722046,0.49747201800346375
2023-10-27,0.607316255569458,0.6026955246925354
2023-11-24,0.4786659777164459,0.5679286122322083
2023-12-22,0.5920342803001404,0.48695090413093567
2024-01-22,0.1873033493757248,0.5183609127998352
2024-02-27,0.2850709855556488,0.38571858406066895
2024-03-26,0.22021052241325378,0.3721930980682373
2024-04-25,0.18436214327812195,0.35580897331237793
2024-05-28,0.2528894543647766,0.4631443917751312
2024-06-26,0.8326773643493652,0.6422041654586792
2024-07-24,0.49387064576148987,0.5822635293006897
2024-08-21,0.7815116047859192,0.48746612668037415
2024-09-20,0.5088480710983276,0.5182976722717285
2024-10-25,0.10576888173818588,0.6158296465873718
2024-11-22,0.6831631660461426,0.7196535468101501
2024-12-20,0.33772513270378113,0.4307088553905487
2025-01-20,0.5077238082885742,0.492143452167511
2025-02-25,0.5661561489105225,0.5239371061325073
2025-03-25,0.6910861134529114,0.6496156454086304
2025-04-23,0.35582759976387024,0.6281300187110901
2025-05-26,0.5303835868835449,0.36286112666130066
2025-06-24,0.408107727766037,0.5058987140655518
2025-07-22,0.39353758096694946,0.5193486213684082
2025-08-19,0.5186089277267456,0.5234582424163818
2025-09-16,0.4580894410610199,0.570809006690979
2025-10-22,0.4720191955566406,0.45722144842147827
2025-11-19,0.5363821983337402,0.5299943685531616
2025-12-17,0.2533148527145386,0.47316646575927734
2026-01-16,0.5386558175086975,0.5524204969406128
2026-02-13,0.7330132722854614,0.49803462624549866
2026-03-23,0.39994072914123535,0.5094366073608398
2026-04-21,0.6752491593360901,0.5459633469581604
2026-05-22,0.5016801357269287,0.47016286849975586
