,prob,uncertainty
2022-11-01,0.7570858597755432,0.6871650815010071
2022-11-29,0.470660001039505,0.5611130595207214
2022-12-27,0.6154775619506836,0.41637104749679565
2023-02-01,0.3680557906627655,0.42356806993484497
2023-03-01,0.46779394149780273,0.45522341132164
2023-03-29,0.44975754618644714,0.4606603682041168
2023-04-27,0.31452617049217224,0.4337044656276703
2023-05-30,0.4042554497718811,0.4329864978790283
2023-06-29,0.6276035308837891,0.5141701698303223
2023-07-27,0.5712437629699707,0.5216137170791626
2023-08-24,0.30088353157043457,0.39051946997642517
2023-09-21,0.38864338397979736,0.5063959956169128
2023-10-27,0.4317750632762909,0.5019462704658508
2023-11-24,0.7608881592750549,0.2730688750743866
2023-12-22,0.4792831242084503,0.5685799717903137
2024-01-22,0.6672905683517456,0.4643027186393738
2024-02-27,0.6194925904273987,0.513778805732727
2024-03-26,0.4737684726715088,0.4244607985019684
2024-04-25,0.7046968340873718,0.4462919235229492
2024-05-28,0.2510761618614197,0.4418773353099823
2024-06-26,0.29978179931640625,0.5079599618911743
2024-07-24,0.45080769062042236,0.5666297674179077
2024-08-21,0.3211231231689453,0.4666546881198883
2024-09-20,0.5235580801963806,0.5475984215736389
2024-10-25,0.6967455148696899,0.5512059330940247
2024-11-22,0.3123301565647125,0.3703755736351013
2024-12-20,0.3833302855491638,0.39228591322898865
2025-01-20,0.29108285903930664,0.4777205288410187
2025-02-25,0.2550121247768402,0.5153118968009949
2025-03-25,0.3265904188156128,0.4450857937335968
2025-04-23,0.5415685772895813,0.5173208713531494
2025-05-26,0.48063796758651733,0.387675017118454
2025-06-24,0.5560268759727478,0.5722480416297913
2025-07-22,0.5012970566749573,0.3848666250705719
2025-08-19,0.3616185188293457,0.373494952917099
2025-09-16,0.6631070375442505,0.4835449755191803
2025-10-22,0.7189671397209167,0.3399620056152344
2025-11-19,0.4243573546409607,0.4853973984718323
2025-12-17,0.29544803500175476,0.5962470769882202
2026-01-16,0.2562742829322815,0.5506294369697571
2026-02-13,0.2283944934606552,0.5952060222625732
2026-03-23,0.24065518379211426,0.43200036883354187
2026-04-21,0.502589762210846,0.5876496434211731
2026-05-22,0.8916377425193787,0.6261885166168213
