,prob,uncertainty
2022-11-01,0.44876715540885925,0.534336268901825
2022-11-29,0.3715709447860718,0.5254976749420166
2022-12-27,0.25763821601867676,0.49473249912261963
2023-02-01,0.5339781641960144,0.46743491291999817
2023-03-01,0.37144529819488525,0.44676265120506287
2023-03-29,0.5399548411369324,0.5933067202568054
2023-04-27,0.5954976677894592,0.6315063238143921
2023-05-30,0.5114842057228088,0.49475836753845215
2023-06-29,0.5923676490783691,0.4693722426891327
2023-07-27,0.35114210844039917,0.41080594062805176
2023-08-24,0.5585879683494568,0.5908622741699219
2023-09-21,0.6349590420722961,0.4904213547706604
2023-10-27,0.6270288825035095,0.5814881324768066
2023-11-24,0.5686704516410828,0.5307881832122803
2023-12-22,0.4088056683540344,0.4953681230545044
2024-01-22,0.3625268042087555,0.5168164372444153
2024-02-27,0.22601552307605743,0.3698859214782715
2024-03-26,0.41986900568008423,0.45341575145721436
2024-04-25,0.40105533599853516,0.48996368050575256
2024-05-28,0.38808831572532654,0.5158653855323792
2024-06-26,0.3462575078010559,0.45724397897720337
2024-07-24,0.14772406220436096,0.5136922597885132
2024-08-21,0.5735630393028259,0.5348946452140808
2024-09-20,0.48801493644714355,0.4553366005420685
2024-10-25,0.42316555976867676,0.49341994524002075
2024-11-22,0.5378504991531372,0.6530368328094482
2024-12-20,0.47936901450157166,0.637776255607605
2025-01-20,0.26266276836395264,0.4947569668292999
2025-02-25,0.5984672904014587,0.530265748500824
2025-03-25,0.32937008142471313,0.617435097694397
2025-04-23,0.44645747542381287,0.47274836897850037
2025-05-26,0.524350643157959,0.5972186923027039
2025-06-24,0.3708111345767975,0.4303995668888092
2025-07-22,0.299887090921402,0.6454121470451355
2025-08-19,0.34226012229919434,0.5812061429023743
2025-09-16,0.4710996747016907,0.5098929405212402
2025-10-22,0.4069213569164276,0.4090002477169037
2025-11-19,0.2818545997142792,0.4510478377342224
2025-12-17,0.4842282235622406,0.5143020749092102
2026-01-16,0.44647565484046936,0.4637652039527893
2026-02-13,0.5591851472854614,0.5031192302703857
2026-03-23,0.3683745563030243,0.5804227590560913
2026-04-21,0.6768611669540405,0.608990490436554
2026-05-22,0.5298653244972229,0.5308513641357422
