,prob,uncertainty
2022-11-09,0.4717588424682617,0.48641306161880493
2022-12-07,0.4469449520111084,0.36190780997276306
2023-01-05,0.2566337585449219,0.45801910758018494
2023-02-09,0.32864174246788025,0.48557376861572266
2023-03-09,0.3041955232620239,0.5870781540870667
2023-04-07,0.2822953164577484,0.42413976788520813
2023-05-10,0.3904629647731781,0.48524823784828186
2023-06-07,0.49068257212638855,0.4243050515651703
2023-07-07,0.3997340500354767,0.4833170473575592
2023-08-04,0.8202360272407532,0.4634382724761963
2023-09-01,0.38765332102775574,0.44695550203323364
2023-10-09,0.305327445268631,0.5065692067146301
2023-11-06,0.5688163042068481,0.511836051940918
2023-12-04,0.4628869295120239,0.4924032986164093
2024-01-02,0.5165069103240967,0.5016229152679443
2024-01-30,0.36282703280448914,0.489084929227829
2024-03-06,0.49424052238464355,0.5143117308616638
2024-04-03,0.5588114261627197,0.5311901569366455
2024-05-08,0.2507075071334839,0.3789489269256592
2024-06-05,0.3087938129901886,0.5148810744285583
2024-07-04,0.4806455075740814,0.4807482659816742
2024-08-01,0.554266631603241,0.5099775791168213
2024-08-29,0.34781360626220703,0.49583274126052856
2024-09-30,0.6294441223144531,0.4615016579627991
2024-11-04,0.5395485758781433,0.4647929072380066
2024-12-02,0.34983599185943604,0.4846133589744568
2024-12-30,0.35140669345855713,0.44882819056510925
2025-02-05,0.40490812063217163,0.4651983678340912
2025-03-05,0.3225795030593872,0.5165895819664001
2025-04-02,0.43801209330558777,0.416023850440979
2025-05-06,0.02691822312772274,0.10865572839975357
2025-06-04,0.41440486907958984,0.5184257626533508
2025-07-02,0.3002033233642578,0.4653894007205963
2025-07-30,0.33316680788993835,0.5578754544258118
2025-08-27,0.46739599108695984,0.46908557415008545
2025-09-24,0.5860992670059204,0.47863781452178955
2025-10-30,0.3993209898471832,0.4717905521392822
2025-11-27,0.801170825958252,0.5204216837882996
2025-12-25,0.517017662525177,0.5574710965156555
2026-01-26,0.42791327834129333,0.4953303337097168
2026-03-03,0.4088701009750366,0.4738951623439789
2026-03-31,0.34424450993537903,0.4880891442298889
2026-04-29,0.4950498640537262,0.3813575208187103
