,prob
2022-11-01,0.7248862981796265
2022-11-29,0.30575233697891235
2022-12-27,0.04799722880125046
2023-02-01,0.42389073967933655
2023-03-01,0.00012561546463984996
2023-03-29,0.048674408346414566
2023-04-27,7.209541945485398e-05
2023-05-30,0.31418147683143616
2023-06-29,0.344647079706192
2023-07-27,0.01987420581281185
2023-08-24,3.536967415129766e-05
2023-09-21,1.1774543963838369e-05
2023-10-27,2.403216683433129e-07
2023-11-24,5.5226198725222275e-08
2023-12-22,0.00020480235980357975
2024-01-22,1.3013266197958728e-06
2024-02-27,0.008773027919232845
2024-03-26,3.340107213034571e-08
2024-04-25,5.944352778897155e-06
2024-05-28,4.985623718312127e-07
2024-06-26,1.884734047052916e-05
2024-07-24,7.589200095026172e-07
2024-08-21,0.0007485538953915238
2024-09-20,0.06487248092889786
2024-10-25,0.0017709832172840834
2024-11-22,0.027052441611886024
2024-12-20,0.03184102848172188
2025-01-20,0.30525335669517517
2025-02-25,0.0003210907452739775
2025-03-25,0.013496899046003819
2025-04-23,0.06056595593690872
2025-05-26,0.007144605275243521
2025-06-24,0.08443163335323334
2025-07-22,0.00416587432846427
2025-08-19,0.0015600401675328612
2025-09-16,0.000180182556505315
2025-10-22,0.041553303599357605
2025-11-19,0.002992763416841626
2025-12-17,0.00048503742436878383
2026-01-16,0.002127269748598337
2026-02-13,0.0005305611412040889
2026-03-23,0.00196671299636364
2026-04-21,0.00963011384010315
2026-05-22,0.0015157884918153286
