,prob
2022-10-03,0.4490911662578583
2022-10-31,0.6069145798683167
2022-11-29,0.49245238304138184
2022-12-28,0.5799909234046936
2023-01-27,0.6355007886886597
2023-02-27,0.4802137315273285
2023-03-27,0.58819180727005
2023-04-25,0.4365593194961548
2023-05-23,0.4196070432662964
2023-06-22,0.45798245072364807
2023-07-21,0.49313390254974365
2023-08-18,0.5800976753234863
2023-09-18,0.6959906220436096
2023-10-16,0.5748821496963501
2023-11-13,0.5668980479240417
2023-12-12,0.5271498560905457
2024-01-11,0.4962938129901886
2024-02-09,0.48985087871551514
2024-03-11,0.6242542862892151
2024-04-09,0.5706368684768677
2024-05-07,0.5446640253067017
2024-06-05,0.4796745479106903
2024-07-05,0.38355115056037903
2024-08-02,0.4944736957550049
2024-08-30,0.39021754264831543
2024-09-30,0.4397803544998169
2024-10-28,0.5147261023521423
2024-11-25,0.4765182435512543
2024-12-24,0.6772733330726624
2025-01-27,0.5329617261886597
2025-02-25,0.5672512054443359
2025-03-25,0.6417352557182312
2025-04-23,0.699356198310852
2025-05-21,0.682128369808197
2025-06-20,0.5208601355552673
2025-07-21,0.5852718949317932
2025-08-18,0.5706675052642822
2025-09-16,0.5259667038917542
2025-10-14,0.44651415944099426
2025-11-11,0.4480150043964386
2025-12-10,0.45025649666786194
2026-01-09,0.48003095388412476
2026-02-09,0.9831756353378296
2026-03-10,0.4355519115924835
2026-04-08,0.557427704334259
2026-05-06,0.44883644580841064
