,prob
2022-11-01,0.32938191294670105
2022-11-29,0.014673875644803047
2022-12-27,0.04529012739658356
2023-02-01,0.1176924854516983
2023-03-01,0.8105272054672241
2023-03-29,0.07746294885873795
2023-04-27,0.03821557015180588
2023-05-30,0.027400564402341843
2023-06-29,0.0067353807389736176
2023-07-27,0.002038390375673771
2023-08-24,0.010530279017984867
2023-09-21,0.009722698479890823
2023-10-27,0.010542213916778564
2023-11-24,0.019273368641734123
2023-12-22,0.00427205627784133
2024-01-22,0.030903039500117302
2024-02-27,0.0014708639355376363
2024-03-26,0.12590143084526062
2024-04-25,0.057392410933971405
2024-05-28,0.005364501848816872
2024-06-26,0.036683011800050735
2024-07-24,0.0029235053807497025
2024-08-21,0.07893271744251251
2024-09-20,0.20695814490318298
2024-10-25,0.0030969001818448305
2024-11-22,0.0009634909802116454
2024-12-20,0.005149411968886852
2025-01-20,0.3110567033290863
2025-02-25,0.015348656103014946
2025-03-25,7.890685083111748e-05
2025-04-23,0.02069239132106304
2025-05-26,0.008117525838315487
2025-06-24,0.0005561967263929546
2025-07-22,4.201254341751337e-05
2025-08-19,0.00014864333206787705
2025-09-16,0.14419224858283997
2025-10-22,8.457892545266077e-05
2025-11-19,0.1147172749042511
2025-12-17,0.07833759486675262
2026-01-16,0.00811835192143917
2026-02-13,8.039361273404211e-05
2026-03-23,0.006904139183461666
2026-04-21,0.3367742598056793
2026-05-22,7.052559340081643e-06
